PARTICIPANT_CODE,DISTRICT,POSTCODE
0451133JSE,GROBLERSDAL,450
0451214JSE,ERMELO,2350
0451227HST,ERMELO,2315
0451323JSE,ZEERUST,2895
0451364HST,FRANKFORT,9840
0451377HST,POTCHEFSTROOM,2515
0485193JSE,RIVERSDALE,6670
0451458JSE,BRITS,250
0451473HST,FICKSBURG,9730
0450836JSE,BOTHAVILLE,2780
0450986HST,FRANKFORT,9840
0450999HST,HUMANSDORP,6300
0451011JSE,EAST LONDON,5214
0451065HST,MAFIKENG,2867
0451513JSE,VRYHEID,3100
0451615JSE,KUILSRIVER,7560
0451648HST,FOURIESBURG,9725
0451650HST,SENEKAL,9600
0485259JSE,KNYSNA,6600
0451691JSE,BLOEMFONTEIN,9300
0451744JSE,PORT ELIZABETH,6015
0054373HST,TSUMEB,9260
0485220HST,ALEXANDRIA,6185
0485220JSE,ALEXANDRIA,6185
0450547HST,DELAREYVILLE,2770
0450605JSE,PAARL,6820
0450618HST,SASOLBURG,1947
0450620HST,CERES,6835
0485370JSE,SWELLENDAM,6730
0450755HST,BETHAL,2310
0450770HST,SOMERSET-EAST,5820
0449173JSE,MOSSEL BAY,6620
0449199HST,HUMANSDORP,6303
0449254HST,JOHANNESBURG,1872
0449322JSE,GROOTFONTEIN,0
0448819HST,BLOEMFONTEIN,9312
0448848JSE,BETHAL,2310
0450796JSE,PINETOWN,250
0450945JSE,VANDERBIJLPARK,1900
0450306HST,UMZINTO,4640
0450334HST,BOSHOF,8530
0485410HST,BALFOUR,2410
0450238HST,KLERKSDORP,2573
0450388HST,HOOPSTAD,2670
0450402HST,NIGEL,1490
0450430HST,VREDEFORT,2520
0450511JSE,VREDE,9835
0449990JSE,STANDERTON,35
0450022HST,WESSELSBRON,9680
0450131HST,DELAREYVILLE,2770
0450165HST,SENEKAL,9600
0450225HST,BETHAL,2320
0054548HST,ZIMBABWE,0
0449730HST,FICKSBURG,9730
0449728HST,MIDDELBURG(TVL),1050
0449743HST,WELKOM,9460
0449756JSE,TULBAGH,6830
0505265JSE,ERMELO,2330
0451772JSE,BLOEMFONTEIN,9310
0449811HST,GEORGE,6650
0449848JSE,RANDBURG,6530
0478925JSE,DELMAS,560
0449905JSE,HARRISMITH,9880
0449920JSE,SWELLENDAM,6743
0449959HST,RAYTON,1020
0449416HST,QUEENSTOWN,5320
0449416JSE,QUEENSTOWN,5320
0449512HST,KOSTER,2820
0449538HST,STRAND,7150
0449579JSE,UITENHAGE,6230
0449485HST,KROONSTAD,9500
0449619JSE,VEREENIGING,1872
0449675HST,PRETORIA,1
0448564JSE,BLOEMFONTEIN,9300
0448700HST,CLOCOLAN,9735
0448604HST,LADYBRAND,9321
0448617HST,BETHLEHEM,9700
0448632HST,BETHLEHEM,9700
0448686HST,KLERKSDORP,2573
0448726HST,BETHLEHEM,9860
0448782JSE,PIET RETIEF(TVL),3170
0448807HST,KROONSTAD,9500
0449457HST,LADYBRAND,9746
0448237JSE,HARRISMITH,9880
0448293HST,OUDTSHOORN,6650
0448333HST,MIDDELBURG(TVL),1095
0448361HST,VREDEFORT,9595
0448374HST,BULTFONTEIN,9670
0447955JSE,BRITS,260
0448021JSE,MOOI RIVER,3300
0485829HST,LOUIS TRICHARDT,920
0448047HST,HEIDELBERG(TVL),2400
0448075HST,WITBANK,2230
0448088HST,NEW HANOVER,3470
0448090HST,HUMANSDORP,6304
0448102HST,BLOEMFONTEIN,9300
0447697HST,ERMELO,2266
0447820JSE,LICHTENBURG,2740
0079943HST,VILJOENSKROON,9520
0079956HST,ERMELO,2350
0079997HST,PRETORIA,1020
0080045HST,THEUNISSEN,9410
0080073HST,UTRECHT,2980
0080099HST,ZIMBABWE,0
0080100HST,BLOEMFONTEIN,9300
0080113HST,STELLENBOSCH,7606
0080154HST,BETHLEHEM,9703
0080182HST,ZIMBABWE,0
0080182JSE,ZIMBABWE,0
0080207HST,BRANDFORT,9401
0448863HST,BALFOUR,2123
0448903HST,POTCHEFSTROOM,2701
0448903JSE,WESTONARIA,2701
0448929HST,HEILBRON,9650
0448944HST,POTCHEFSTROOM,2515
0055089JSE,BETHULIE,9917
0055091JSE,ZIMBABWE,0
0055103JSE,HARRISMITH,9890
0055116JSE,MALMESBURY,6800
0055129JSE,ZIMBABWE,0
0055131JSE,BRANDFORT,9400
0055144JSE,MALMESBURY,6800
0055165JSE,BLOEMFONTEIN,9900
0055172JSE,VENTERSDORP,2710
0055185JSE,KLERKSDORP,2570
0055204JSE,SMITHFIELD,9966
0055212JSE,STANDERTON,2430
0055225JSE,ZIMBABWE,0
0055238JSE,JOHANNESBURG,2001
0055240JSE,SENEKAL,9800
0055253JSE,MALMESBURY,6800
0055430JSE,BETHLEHEM,9704
0055279JSE,BRITS,254
0055281JSE,LOUIS TRICHARDT,920
0055294JSE,MOSSEL BAY,6500
0055319JSE,BREDASDORP,7270
0055306JSE,HARRISMITH,9880
0055321JSE,BETHULIE,9917
0055334JSE,SCHWEIZER-RENEKE,2780
0055347JSE,BLOEMFONTEIN,9300
0448536JSE,REITZ,9810
0448551HST,NELSPRUIT(TVL),1200
0448551JSE,NELSPRUIT(TVL),1200
0447263HST,KROONSTAD,9890
0447276HST,CALEDON,7250
0447291JSE,BETHLEHEM,9700
0447303HST,CAPE TOWN,7800
0447369HST,UNDERBERG,3257
0447372HST,WINDHOEK,9000
0447385HST,CAROLINA,1190
0447425JSE,KRUGERSDORP,1751
0485898JSE,HUMANSDORP,6300
0079657JSE,KROONSTAD,9500
0079660HST,BALFOUR,2410
0079698HST,ZIMBABWE,0
